job_category,skills,field_of_study
Cybersecurity Analyst,Access Control | adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Firewalls | Incident Response | leadership | Leadership | microsoft powerpoint | microsoft word | multitasking | Network Security | presentation skills | Presentation Skills | problem solving | Project Coordination | project coordination | Security Audit | teamwork | Teamwork | time management | Time Management,Information Technology
Project Manager,adaptability | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | customer service | Customer Service | leadership | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Risk Management | Stakeholder Management | Teamwork | time management | Time Management,Management
Teacher / Lecturer,Assessment | Assessment Design | Classroom Management | Communication | Critical Thinking | Customer Service | Educational Technology | leadership | Learning Materials Development | Lesson Planning | Mentoring | Microsoft PowerPoint | microsoft word | Online Teaching | Presentation Skills | Problem Solving | Project Coordination | Student Engagement | Teaching Materials | teamwork | Teamwork | Time Management,Civil Engineering
Supply Chain Executive,A/B Testing | Classification | Customer Service | Data Cleaning | Data Warehousing | Delivery Coordination | ERP | Excel | Inventory Management | Leadership | Logistics | Microsoft PowerPoint | Microsoft Word | Pandas | Problem Solving | Project Coordination | Spark | Statistics | Teamwork | TensorFlow | Vendor Management | Warehouse Management,Logistics
Mechanical Engineer,3D Modelling | AutoCAD | Communication | Critical Thinking | Electrical Design | Maintenance | Manufacturing Process | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | SolidWorks | Teamwork | Technical Documentation | Technical Drawing | Time Management,Mechanical Engineering
Hospitality & Tourism Executive,Cashiering | Clinical Procedures | Communication | Counselling | Critical Thinking | Customer Service | Electronic Medical Records | Emergency Response | Food and Beverage | Guest Service | Health Education | Infection Control | Leadership | Medication Administration | Microsoft PowerPoint | Microsoft Word | Patient Care | Phlebotomy | POS System | Presentation Skills | Problem Solving | Teamwork | Time Management | Vital Signs Monitoring,Hospitality & Tourism
Cybersecurity Analyst,Access Control | adaptability | attention to detail | Communication | communication skills | critical thinking | customer service | Customer Service | Firewalls | leadership | Leadership | Malware Analysis | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | Network Security | Penetration Testing | presentation skills | Presentation Skills | problem solving | Problem Solving | project coordination | Risk Assessment | Security Audit | Security Policies | teamwork | Teamwork | time management | Time Management,Computer Science
Electrical Engineer,3D Modelling | adaptability | AutoCAD | AutoCAD Electrical | Communication | Critical Thinking | customer service | Customer Service | electrical design | Instrumentation | Leadership | Maintenance | Microsoft PowerPoint | Microsoft Word | multitasking | PLC | Power Systems | Presentation Skills | Problem Solving | Project Management | Quality Control | quality control | root cause analysis | Teamwork | Troubleshooting | Wiring Diagram,Electrical Engineering
DevOps Engineer,adaptability | Agile | api integration | AWS | Azure | Cloud Deployment | communication skills | Customer Service | git | Git | JavaScript | kubernetes | MySQL | OOP | PostgreSQL | project coordination | React | react | Scrum | Time Management | typescript | TypeScript,Computer Science
Business Analyst,adaptability | analytical thinking | attention to detail | Business Process Modelling | Communication | communication skills | critical thinking | Critical Thinking | customer service | Data Analysis | Functional Specification | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | teamwork | Time Management | User Stories,Information Systems
Sales Executive,Adobe Photoshop | Brand Management | Canva | Closing Sales | Communication | communication skills | Critical Thinking | CRM | Customer Service | Influencer Marketing | microsoft word | multitasking | Presentation Skills | Problem Solving | Product Knowledge | Reporting | SEM | SEO | seo | Social Media Marketing | Storytelling | tiktok marketing | time management,Marketing
Data Scientist,Big Data | Deep Learning | ETL | Feature Engineering | Google Analytics | hypothesis testing | Jupyter Notebook | Leadership | NumPy | Power BI | Problem Solving | python | PyTorch | regression analysis | Spark | statistics | Teamwork | TensorFlow | Time Series Analysis,Data Science
Business Analyst,attention to detail | Communication | Critical Thinking | Customer Service | Data Analysis | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | Presentation Skills | Problem Solving | Project Coordination | Requirements Gathering | Teamwork | time management | Time Management | Use Case,Business Administration
Graphic Designer,adaptability | Adobe Illustrator | Adobe InDesign | adobe photoshop | Adobe Photoshop | attention to detail | color theory | Communication | Creative Thinking | critical thinking | Critical Thinking | Customer Service | figma | Interaction Design | Layout Design | Leadership | Microsoft PowerPoint | presentation skills | Print Design | project coordination | Social Media Design | time management | Typography | ui design | Usability Testing | UX Design | Visual Design,Multimedia
Pharmacist,basic life support | Clinical Procedures | Communication | communication skills | Counselling | Drug Information | Electronic Medical Records | health education | Health Education | leadership | medication administration | Medication Counselling | OTC Recommendation | Prescription Review | presentation skills | Presentation Skills | Problem Solving | Time Management | Vital Signs Monitoring,Pharmacy
Civil Engineer,autocad | Bill of Quantities | Concrete | Construction Management | Critical Thinking | Electrical Design | leadership | Leadership | multitasking | Project Coordination | project coordination | Project Management | Quality Control | quality control | root cause analysis | Root Cause Analysis | Safety Compliance | safety compliance | Simulation | simulation software | Site Supervision | Structural Design | Technical Documentation | Tendering | Time Management,Civil Engineering
Sales Executive,analytical thinking | attention to detail | Closing Sales | Cold Calling | Communication | critical thinking | Critical Thinking | Customer Relationship | Customer Service | Lead Generation | leadership | Leadership | Microsoft PowerPoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | problem solving | Problem Solving | Product Knowledge | Project Coordination | project coordination | Prospecting | Sales Target | teamwork | Teamwork | time management | Time Management,Business Administration
Teacher / Lecturer,Assessment Design | Classroom Management | Communication | Counselling | Critical Thinking | Curriculum Development | Customer Service | Educational Technology | Leadership | Learning Materials Development | Lesson Planning | Mentoring | Microsoft PowerPoint | Microsoft Word | Online Teaching | Presentation Skills | Problem Solving | Project Coordination | Student Engagement | Teaching | Teaching Materials | Teamwork | Time Management,Electrical Engineering
Electrical Engineer,3D Modelling | adaptability | analytical thinking | attention to detail | Circuit Design | Commissioning | Communication | Instrumentation | leadership | Leadership | mechanical design | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | plc programming | presentation skills | Presentation Skills | preventive maintenance | problem solving | Problem Solving | Project Management | project management | quality control | simulation software | teamwork | Technical Documentation | Testing | Time Management | Wiring Diagram,Electrical Engineering
Software Engineer,Agile | api integration | API Integration | C# | C++ | Code Review | code review | customer service | Debugging | debugging | git | Kubernetes | leadership | microservices | Microservices | mongodb | multitasking | presentation skills | Problem Solving | rest api | REST API | Spring Boot | unit testing | Unit Testing,Business Information Systems
Chemical Engineer,3d modelling | autocad | communication skills | customer service | electrical design | hvac design | Laboratory Testing | leadership | manufacturing processes | Mechanical Design | microsoft powerpoint | P&ID | Plant Operation | Presentation Skills | Process Control | Project Coordination | Project Management | root cause analysis | Root Cause Analysis | Safety Compliance | solidworks | technical documentation | Time Management | Troubleshooting,Chemical Engineering
DevOps Engineer,agile | Ansible | Automation | Code Review | Communication | Customer Service | Design Patterns | Docker | Express.js | JavaScript | Jenkins | Kubernetes | Leadership | Microsoft Word | node.js | postgresql | project coordination | Scrum | scrum | Shell Scripting | System Administration | teamwork | Time Management | TypeScript | unit testing | version control,Software Engineering
Mobile App Developer,adaptability | Agile | API Integration | C++ | Critical Thinking | Design Patterns | iOS | Kotlin | Leadership | Microservices | Mobile UI | MongoDB | OOP | Push Notifications | rest api | scrum | SQL | Time Management | Xcode,Software Engineering
Mobile App Developer,API Integration | C++ | Cloud Deployment | Code Review | Dart | Debugging | Express.js | Flutter | iOS | Microservices | Mobile Testing | MySQL | Node.js | NoSQL | OOP | PostgreSQL | Presentation Skills | react | rest api | REST API | Scrum | Spring Boot | SQL | Swift | Time Management | unit testing | Unit Testing,Software Engineering
Cybersecurity Analyst,Access Control | Communication | Critical Thinking | customer service | Customer Service | Leadership | Malware Analysis | Microsoft PowerPoint | Microsoft Word | Network Security | Penetration Testing | Presentation Skills | Problem Solving | Security Audit | SIEM | Teamwork | Time Management | Vulnerability Assessment,Computer Science
Software Engineer,Agile | API Integration | C# | Code Review | Customer Service | Debugging | Design Patterns | Docker | Express.js | Git | Java | Kubernetes | Microservices | Presentation Skills | Problem Solving | Project Coordination | Python | REST API | Spring Boot | Teamwork | Unit Testing,Business Information Systems
Mechanical Engineer,3D Modelling | AutoCAD | Communication | Critical Thinking | Customer Service | electrical design | Electrical Design | Leadership | Maintenance | Mechanical Design | Microsoft PowerPoint | Microsoft Word | multitasking | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | project coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | simulation software | solidworks | Teamwork | Technical Documentation | time management | Time Management,Mechanical Engineering
Web Developer,adaptability | c# | ci/cd pipeline | Code Review | Critical Thinking | Cross Browser Testing | Debugging | Design Patterns | Git | HTML | JavaScript | Kubernetes | Leadership | Microservices | Microsoft PowerPoint | Microsoft Word | mongodb | MySQL | node.js | NoSQL | OOP | PHP | Presentation Skills | Project Coordination | project coordination | rest api | Scrum | SQL | sql | Vue.js,Software Engineering
DevOps Engineer,Azure | C# | CI/CD | Cloud Deployment | Code Review | Customer Service | Design Patterns | Git | JavaScript | Leadership | Microsoft PowerPoint | MongoDB | OOP | Presentation Skills | Project Coordination | Python | React | Scrum | Shell Scripting | Spring Boot | SQL | System Administration | Unit Testing,Information Technology
Graphic Designer,adaptability | Adobe Illustrator | Adobe XD | Branding | Communication | Creative Thinking | critical thinking | Critical Thinking | customer service | Figma | Illustrator | Layout Design | Problem Solving | Project Coordination | Time Management | Typography | UI Design | Usability Testing | User Research | Wireframing,Graphic Design
Sales Executive,adaptability | analytical thinking | Closing Sales | Cold Calling | Communication | communication skills | critical thinking | Critical Thinking | Customer Relationship | customer service | Customer Service | Lead Generation | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | problem solving | Problem Solving | Product Knowledge | Project Coordination | project coordination | Prospecting | Sales Target | Teamwork | time management | Time Management,Business Administration
Web Developer,Angular | Bootstrap | c# | ci/cd pipeline | cloud deployment | critical thinking | CSS | docker | Express.js | javascript | JavaScript | Microservices | Microsoft PowerPoint | Microsoft Word | mongodb | OOP | PHP | project coordination | python | Responsive Design | REST API | teamwork | Time Management | version control | Web Accessibility,Graphic Design
Sales Executive,Campaign Management | Canva | Cold Calling | Communication | CRM | Customer Service | Google Ads | Influencer Marketing | Instagram Marketing | Leadership | Marketing Analytics | Microsoft Word | Presentation Skills | Project Coordination | Prospecting | Public Relations | Reporting | Sales Target | SEM | Time Management,Marketing
Cybersecurity Analyst,Access Control | adaptability | analytical thinking | attention to detail | Communication | communication skills | Critical Thinking | customer service | Customer Service | Incident Response | leadership | Leadership | Malware Analysis | Microsoft PowerPoint | microsoft word | Network Security | Problem Solving | project coordination | Risk Assessment | Security Audit | Security Policies | Teamwork | Vulnerability Assessment,Cybersecurity
Civil Engineer,3D Modelling | 3d modelling | adaptability | analytical thinking | attention to detail | autocad | Communication | Customer Service | Drawing Review | electrical design | Health and Safety | hvac design | leadership | manufacturing processes | Mechanical Design | mechanical design | multitasking | presentation skills | Presentation Skills | Problem Solving | Project Coordination | project management | Root Cause Analysis | safety compliance | Simulation | simulation software | SolidWorks | teamwork | Technical Documentation | Tendering,Civil Engineering
Electrical Engineer,3D Modelling | attention to detail | AutoCAD Electrical | Commissioning | Communication | customer service | Customer Service | Electrical Design | leadership | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | Power Systems | Presentation Skills | Problem Solving | Project Coordination | Project Management | Quality Control | root cause analysis | Root Cause Analysis | Simulation | simulation software | solidworks | SolidWorks | Technical Documentation | Testing | Time Management,Electrical Engineering
Software Engineer,adaptability | Agile | c# | ci/cd pipeline | critical thinking | Customer Service | Debugging | debugging | Docker | Git | java | Leadership | Linux | Microsoft PowerPoint | microsoft word | multitasking | postgresql | problem solving | Python | python | Scrum | scrum | spring boot | Spring Boot | SQL | sql | teamwork | Teamwork | typescript | Unit Testing,Business Information Systems
Sales Executive,attention to detail | Closing Sales | Communication | communication skills | critical thinking | Customer Relationship | customer service | Customer Service | Lead Generation | microsoft word | Microsoft Word | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Reporting | Teamwork | time management | Time Management,Business Administration
Nurse,Clinical Procedures | Communication | Counselling | CPR | Customer Service | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Leadership | Medical Terminology | Medication Administration | Microsoft PowerPoint | Patient Care | Presentation Skills | Problem Solving | Project Coordination | Record Keeping | Teamwork | Time Management | Vital Signs | Vital Signs Monitoring,Nursing
Web Developer,adaptability | api integration | Backend Development | c++ | Communication | customer service | debugging | Design Patterns | Docker | express.js | git | Git | HTML | Kubernetes | MongoDB | mongodb | multitasking | MySQL | Node.js | NoSQL | OOP | postgresql | python | Responsive Design | rest api | REST API | spring boot | time management | Web Accessibility | Web Performance,Multimedia
Data Analyst,attention to detail | Big Data | Critical Thinking | Data Cleaning | Data Interpretation | Data Visualization | Descriptive Statistics | ETL | Excel | Feature Engineering | Google Analytics | google analytics | Leadership | machine learning | microsoft powerpoint | microsoft word | Power BI | Presentation Skills | Project Coordination | R | Spark | spark | sql | Statistics | Tableau | tableau | Teamwork | Time Management,Business Administration
Pharmacist,adaptability | analytical thinking | clinical procedures | Communication | Customer Service | Dispensing | Drug Information | Electronic Medical Records | Emergency Response | Health Education | Infection Control | Inventory Management | Leadership | Medical Terminology | Medication Administration | Medication Counselling | OTC Recommendation | patient assessment | Patient Care | Pharmacy Management | Prescription Review | presentation skills | Project Coordination | teamwork | Vital Signs Monitoring,Pharmacy
Customer Support Executive,analytical thinking | attention to detail | Call Handling | Communication | communication skills | Complaint Handling | Critical Thinking | Customer Service | Email Support | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | Presentation Skills | Problem Solving | Project Coordination | project coordination | teamwork | Teamwork | time management | Time Management,Business Administration
Mechanical Engineer,3D Modelling | AutoCAD | Critical Thinking | Customer Service | Electrical Design | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Project Coordination | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Teamwork | Technical Documentation | Technical Drawing | Time Management,Mechanical Engineering
Data Scientist,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | Critical Thinking | Customer Service | Data Preprocessing | leadership | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | multitasking | NumPy | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Python | teamwork | Teamwork | TensorFlow | time management | Time Management,Artificial Intelligence
Customer Support Executive,attention to detail | Communication | communication skills | critical thinking | CRM System | customer service | Customer Service | Email Support | Follow Up | Live Chat | microsoft powerpoint | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | project coordination | Teamwork | time management | Time Management,Business Administration
HR Specialist,Communication | Conflict Resolution | critical thinking | customer service | employee engagement | Employee Engagement | Employee Relations | HR Policies | hr policies | HRIS | hris | Interviewing | Leadership | Microsoft PowerPoint | microsoft word | Onboarding | Payroll | Performance Management | performance management | presentation skills | Presentation Skills | problem solving | project coordination | Recruitment | talent acquisition | talent management | Teamwork | Time Management | training and development,Psychology
Civil Engineer,3D Modelling | AutoCAD | Bill of Quantities | Communication | Construction Management | Critical Thinking | Electrical Design | Health and Safety | Leadership | Mechanical Design | Microsoft PowerPoint | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Structural Design | Technical Documentation | Time Management,Civil Engineering
Project Manager,adaptability | Agile | attention to detail | Budgeting | Communication | communication skills | Critical Thinking | customer service | leadership | Leadership | Microsoft PowerPoint | multitasking | presentation skills | Presentation Skills | problem solving | Problem Solving | Project Coordination | project coordination | Reporting | Scheduling | Scrum | Stakeholder Management | teamwork | Time Management,Business Administration
Business Analyst,adaptability | analytical thinking | attention to detail | Business Process Modelling | Communication | communication skills | critical thinking | Critical Thinking | customer service | Data Analysis | Functional Specification | leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Microsoft Word | presentation skills | Presentation Skills | Problem Solving | Project Coordination | project coordination | time management | Time Management | User Stories,Information Systems
Mobile App Developer,adaptability | Android | Android Studio | api integration | C# | c++ | CI/CD | Communication | critical thinking | Debugging | Design Patterns | Flutter | git | Java | Microsoft PowerPoint | microsoft powerpoint | mongodb | multitasking | mysql | project coordination | Python | python | REST API | Scrum | spring boot | Swift | Time Management,Software Engineering
Mechanical Engineer,3D Modelling | AutoCAD | Critical Thinking | Customer Service | Electrical Design | Leadership | Maintenance | Manufacturing Process | Mechanical Design | Microsoft PowerPoint | Microsoft Word | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Teamwork | Technical Documentation | Time Management,Mechanical Engineering
Digital Marketing Specialist,Brand Awareness | Brand Management | Campaign Management | Canva | Communication | Content Marketing | Copywriting | Critical Thinking | CRM | Customer Service | Facebook Ads | Google Ads | Influencer Marketing | Leadership | Market Research | Microsoft Word | Presentation Skills | Project Coordination | Public Relations | Social Media Marketing | Storytelling | Teamwork | Time Management,Business Administration
Data Analyst,A/B Testing | Classification | Critical Thinking | Customer Service | Dashboard | Data Cleaning | Data Visualization | ETL | Excel | Feature Engineering | Machine Learning | Microsoft PowerPoint | Pivot Table | Power BI | Python | PyTorch | Regression | Reporting | Teamwork,Statistics
Teacher / Lecturer,adaptability | Assessment | Classroom Management | Communication | Counselling | Critical Thinking | ERP Systems | erp systems | Lean Management | Lesson Planning | Logistics | Microsoft PowerPoint | Online Teaching | Presentation Skills | Project Coordination | Record Keeping | Resource Planning | Student Engagement | Teamwork | Warehouse Management,Logistics
Data Analyst,A/B Testing | Business Intelligence | clustering | Data Cleaning | ETL | excel | Excel | feature engineering | Feature Engineering | hypothesis testing | machine learning | Microsoft PowerPoint | microsoft word | NumPy | numpy | Pandas | Power BI | pytorch | regression analysis | spark | SQL | statistics | Tableau | tableau | teamwork | Time Management,Business Administration
Supply Chain Executive,a/b testing | adaptability | Classification | clustering | Communication | Critical Thinking | data cleaning | deep learning | Delivery Coordination | Demand Forecasting | ETL | etl | excel | Inventory Management | multitasking | NumPy | numpy | Order Processing | pandas | presentation skills | Procurement | Shipping | spark | statistics | tableau | TensorFlow | time management | Time Series Analysis | time series analysis | Vendor Management,Business Administration
Data Analyst,adaptability | analytical thinking | attention to detail | big data | Classification | Dashboard | Data Visualization | Descriptive Statistics | Excel | feature engineering | Leadership | Microsoft PowerPoint | Microsoft Word | Pandas | power bi | Presentation Skills | Project Coordination | Python | PyTorch | R | r | regression analysis | Spark | spark | SQL | Statistics | Tableau | Time Management | Time Series Analysis,Data Science
HR Specialist,analytical thinking | Communication | Critical Thinking | Customer Service | Employee Engagement | Employee Relations | exit interview | HR Policies | HRIS | interviewing | Interviewing | Labour Law | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | Onboarding | Performance Management | Presentation Skills | Project Coordination | recruitment | talent acquisition | Teamwork | Time Management | Training & Development | training and development,Business Administration
Finance & Accounting Executive,Accounting | Accounts Payable | adaptability | Auditing | Budgeting | Costing | customer service | Excel | Financial Analysis | Financial Reporting | General Ledger | Investment Analysis | Microsoft Word | oracle finance | Oracle Finance | Presentation Skills | profit and loss analysis | project coordination | Reconciliation | risk management | Taxation | variance analysis,Banking
Software Engineer,adaptability | Agile | API Integration | C++ | cloud deployment | Communication | critical thinking | Design Patterns | express.js | Git | java | javascript | JavaScript | Linux | Microservices | microsoft powerpoint | MongoDB | mongodb | multitasking | Object Oriented Programming | OOP | Presentation Skills | problem solving | python | Spring Boot | SQL | Teamwork | Unit Testing,Information Technology
Mechanical Engineer,3D Modelling | 3d modelling | analytical thinking | attention to detail | autocad | AutoCAD | communication skills | critical thinking | leadership | Maintenance | manufacturing processes | Mechanical Design | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | multitasking | plc programming | presentation skills | preventive maintenance | problem solving | Problem Solving | Project Coordination | Quality Control | quality control | root cause analysis | simulation software | SolidWorks | teamwork | Technical Documentation | Technical Drawing,Mechanical Engineering
Data Scientist,adaptability | analytical thinking | attention to detail | Communication | communication skills | critical thinking | customer service | Customer Service | Jupyter Notebook | Leadership | Microsoft PowerPoint | microsoft powerpoint | microsoft word | Model Evaluation | multitasking | Presentation Skills | problem solving | Project Coordination | project coordination | Scikit-Learn | Statistics | TensorFlow | time management | Time Management,Artificial Intelligence
Graphic Designer,Adobe Illustrator | Adobe InDesign | Adobe Photoshop | Adobe XD | adobe xd | Branding | Communication | Figma | illustrator | Interaction Design | Microsoft PowerPoint | microsoft word | Microsoft Word | Presentation Skills | Print Design | Problem Solving | Project Coordination | Prototyping | Social Media Design | ui design | UI Design | user research | Visual Design,Graphic Design
Data Scientist,analytical thinking | Communication | Critical Thinking | customer service | Customer Service | Deep Learning | Feature Engineering | Jupyter Notebook | Leadership | Microsoft PowerPoint | microsoft powerpoint | Microsoft Word | Model Evaluation | multitasking | Natural Language Processing | Pandas | presentation skills | Presentation Skills | Problem Solving | Project Coordination | teamwork | Teamwork | TensorFlow | time management | Time Management | Time Series Analysis,Artificial Intelligence
UI/UX Designer,Adobe XD | Branding | Critical Thinking | Customer Service | Design System | Figma | Illustrator | Interaction Design | Leadership | Microsoft PowerPoint | Microsoft Word | Presentation Skills | Project Coordination | Prototyping | Responsive Design | Teamwork | Time Management | Typography | UI Design | Usability Testing | User Flow | UX Design | Visual Design | Wireframing,Graphic Design
Hospitality & Tourism Executive,attention to detail | basic life support | Cashiering | Check In | Clinical Procedures | Communication | counselling | Customer Service | Electronic Medical Records | emergency response | Food and Beverage | Front Office | Guest Service | Health Education | Infection Control | infection control | Leadership | Medication Administration | Patient Care | Phlebotomy | POS System | Presentation Skills | Project Coordination | project coordination | Reservation | teamwork | Time Management,Hospitality & Tourism
Pharmacist,clinical procedures | communication skills | Counselling | Critical Thinking | customer service | Customer Service | Drug Information | Electronic Medical Records | health education | Inventory Management | medical terminology | Medication Administration | Medication Counselling | multitasking | OTC Recommendation | patient assessment | Pharmacy Management | phlebotomy | Prescription Review | Presentation Skills | project coordination | teamwork | Vital Signs Monitoring,Pharmacy
Supply Chain Executive,Big Data | Classification | classification models | Clustering | Critical Thinking | data warehousing | deep learning | Delivery Coordination | Demand Forecasting | ETL | Google Analytics | Inventory Management | Order Processing | power bi | presentation skills | Presentation Skills | problem solving | project coordination | R | Regression | Supply Planning | tableau | tensorflow,Business Administration
Software Engineer,API Integration | attention to detail | C++ | classification models | Clean Code | Communication | communication skills | customer service | Customer Service | data visualization | data warehousing | excel | feature engineering | Google Analytics | hypothesis testing | Java | microsoft powerpoint | microsoft word | multitasking | numpy | Pandas | Python | python | pytorch | REST API | teamwork | TensorFlow | Time Management | time series analysis | Version Control,Data Science
Mobile App Developer,Android Studio | API Integration | attention to detail | c# | CI/CD | ci/cd pipeline | cloud deployment | Cloud Deployment | customer service | Dart | debugging | Design Patterns | docker | git | iOS | Java | kubernetes | leadership | MongoDB | node.js | nosql | Problem Solving | project coordination | Push Notifications | React | Swift | unit testing,Computer Science
Supply Chain Executive,A/B Testing | Big Data | Classification | Communication | Deep Learning | ERP | Feature Engineering | Google Analytics | Inventory Management | Leadership | Machine Learning | Microsoft PowerPoint | Order Processing | Pandas | Problem Solving | Procurement | PyTorch | R | Spark | SQL | Statistics | Tableau | Time Series Analysis | Vendor Management,Supply Chain Management
DevOps Engineer,agile | Ansible | CI/CD | Cloud Deployment | Communication | Debugging | Docker | docker | Git | Java | Jenkins | Kubernetes | Leadership | Microsoft Word | MySQL | NoSQL | object oriented programming | Python | Shell Scripting | SQL | System Administration | typescript | TypeScript,Information Technology
Graphic Designer,adaptability | Adobe InDesign | adobe photoshop | Adobe Photoshop | analytical thinking | Branding | color theory | communication skills | Creative Thinking | customer service | Figma | illustrator | Layout Design | leadership | Logo Design | Microsoft PowerPoint | microsoft word | Microsoft Word | Presentation Skills | problem solving | project coordination | Prototyping | Responsive Design | Social Media Design | teamwork | Typography | ui design | user research | wireframing,Multimedia
HR Specialist,Conflict Resolution | Customer Service | Employee Engagement | Employee Relations | HR Policies | HRIS | Interviewing | Labour Law | Leadership | Microsoft PowerPoint | Onboarding | Performance Management | performance management | Presentation Skills | problem solving | Talent Acquisition | Teamwork | Training and Development,Human Resource Management
Business Analyst,Business Process Modelling | Communication | critical thinking | Customer Service | Leadership | Microsoft Excel | Microsoft PowerPoint | Microsoft Word | multitasking | Presentation Skills | Problem Solving | Process Improvement | Project Coordination | Requirements Gathering | Stakeholder Management | Teamwork | Time Management | UML | Use Case,Business Information Systems
Graphic Designer,adaptability | Adobe Illustrator | Adobe InDesign | Adobe Photoshop | Adobe XD | adobe xd | Branding | Critical Thinking | customer service | Customer Service | Design Systems | Illustrator | Interaction Design | interaction design | Layout Design | microsoft powerpoint | Microsoft Word | Print Design | problem solving | Problem Solving | UI Design | Usability Testing | user research | User Research | UX Design | Visual Design | visual design | wireframing,Graphic Design
Mobile App Developer,Agile | agile | Android | Android Studio | c# | CI/CD | clean code | communication skills | Customer Service | Docker | docker | Firebase | Flutter | MVVM | node.js | object oriented programming | Play Store Deployment | Problem Solving | rest api | scrum | spring boot | Spring Boot | SQL | teamwork | time management | Time Management | typescript,Information Technology
Chemical Engineer,adaptability | analytical thinking | autocad | AutoCAD | Communication | Critical Thinking | Leadership | Mechanical Design | Microsoft PowerPoint | microsoft powerpoint | P&ID | Presentation Skills | problem solving | Problem Solving | Process Control | Project Coordination | Project Management | Quality Control | root cause analysis | Root Cause Analysis | Safety Compliance | safety compliance | Safety Management | simulation software | SolidWorks | Technical Documentation | Time Management | Troubleshooting,Chemical Engineering
DevOps Engineer,Automation | AWS | Azure | Code Review | critical thinking | Critical Thinking | Customer Service | Debugging | docker | Express.js | Git | Infrastructure as Code | java | leadership | Linux | multitasking | MySQL | node.js | NoSQL | object oriented programming | python | REST API | sql | System Administration | teamwork | time management | typescript | TypeScript,Information Technology
Mechanical Engineer,3D Modelling | AutoCAD | Communication | Critical Thinking | Customer Service | Electrical Design | leadership | Maintenance | Mechanical Design | Microsoft PowerPoint | PLC | Presentation Skills | Preventive Maintenance | Problem Solving | Project Coordination | Project Management | Quality Control | Root Cause Analysis | Safety Compliance | Simulation | SolidWorks | Technical Documentation | Time Management | Troubleshooting,Mechatronics
UI/UX Designer,Adobe Photoshop | Adobe XD | Branding | Communication | Critical Thinking | Customer Service | Design System | Illustrator | Interaction Design | Microsoft Word | Presentation Skills | Project Coordination | Prototyping | Responsive Design | Teamwork | Time Management | Typography | UI Design | Usability Testing | User Research | UX Design | Visual Design | Wireframing,Graphic Design
Data Scientist,analytical thinking | attention to detail | Communication | critical thinking | Critical Thinking | Customer Service | Data Preprocessing | Feature Engineering | Jupyter Notebook | leadership | Leadership | Machine Learning | Microsoft PowerPoint | Microsoft Word | Presentation Skills | Problem Solving | Project Coordination | Python | Scikit-Learn | teamwork | Teamwork | Time Management,Statistics
Chemical Engineer,3D Modelling | critical thinking | Customer Service | Laboratory Testing | leadership | Mechanical Design | Microsoft Word | PLC | Presentation Skills | preventive maintenance | Preventive Maintenance | Problem Solving | Process Control | Process Design | Quality Control | Root Cause Analysis | Safety Management | SolidWorks | Teamwork | time management | Time Management | Troubleshooting,Chemical Engineering
